id,question,expected_answer,before_source,after_source,before_confidence,after_confidence,before_answer_score,after_answer_score,answer_score_delta,answer_change,before_answer_hit_at_0_6,after_answer_hit_at_0_6,before_retrieval_score,after_retrieval_score,retrieval_score_delta,retrieval_change,before_retrieval_hit_at_0_6,after_retrieval_hit_at_0_6,before_retrieval_matched_numbers,after_retrieval_matched_numbers,before_retrieval_matched_keywords,after_retrieval_matched_keywords
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,"2016年6,464.51万、2017年14,414.16万、2018年18,780.67万、2019H1 4,627.14万",招股说明书第186页,招股说明书第129页,67.2%,89.1%,0.6050,0.9250,+0.3200,improved,1,1,0.3850,0.5600,+0.1750,improved,0,0,2016 | 2017 | 2018 | 2019 | 1 | 6,6464.51 | 14414.16 | 18780.67 | 1 | 4627.14 | 6,2019年1,51万 | 16万 | 67万 | 14万 | 51万元 | 16万元
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,全军首个视频指挥系统技术标准《某视频技术规范1.0》,招股说明书第325页,招股说明书第159页,82.0%,97.9%,0.9200,0.9200,+0.0000,unchanged,1,1,0.6000,0.8400,+0.2400,improved,1,1,1.0,1.0,,视频指挥系统技术标准 | 某视频技术规范1 | 技术规范1.0
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,82.10%、97.31%、94.84%、94.34%,招股说明书第186页,招股说明书第129页,58.2%,96.9%,0.4500,0.6000,+0.1500,improved,0,1,0.0000,0.6000,+0.6000,improved,0,1,,82.10% | 97.31% | 94.84% | 94.34%,,
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,芯片/元器件制造商、软件开发商、硬件设备供应商,招股说明书第489页,招股说明书第152页,82.0%,91.3%,0.8286,0.8286,+0.0000,unchanged,1,1,0.6000,0.6571,+0.0571,improved,1,1,,,,上游
957,武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？,军队视频指挥领域,招股说明书第426页,招股说明书第159页,82.0%,90.6%,0.8000,0.9000,+0.1000,improved,1,1,0.6000,0.9000,+0.3000,improved,1,1,,,,军队视频指挥领域 | 重要供应商 | 视频指挥
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,国防军队、政府、监狱、油田、大型企业,招股说明书第384页,招股说明书第152页,40.0%,91.6%,0.6000,0.6500,+0.0500,improved,1,1,0.6000,0.7000,+0.1000,improved,1,1,,,,下游行业 | 政府
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,某情报、指挥、控制与通信网络一体化工程(C4ISR),招股说明书第398页,招股说明书第157页,82.0%,99.0%,0.8667,0.8667,+0.0000,unchanged,1,1,0.0000,0.9333,+0.9333,improved,0,1,,4,,控制与通信网络一体化工程 | 国家科技进步一等奖 | c4isr | 某情报 | 指挥
543,武汉兴图新科电子股份有限公司注册资本是多少？,"5,520.00万元",招股说明书第64页,招股说明书第22页,82.0%,99.0%,0.7333,0.8667,+0.1334,improved,1,1,0.2667,0.8667,+0.6000,improved,0,1,,5520.00,00万元 | 注册资本,00万元 | 注册资本
531,武汉兴图新科电子股份有限公司法定代表人是谁？,程家明,招股说明书第253页,招股说明书第22页,76.4%,91.4%,0.8667,0.8667,+0.0000,unchanged,1,1,0.8667,0.8667,+0.0000,unchanged,1,1,,,法定代表人 | 程家明,法定代表人 | 程家明
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,"15,000.00万元",招股说明书第292页,招股说明书第490页,82.0%,90.5%,0.6800,0.6800,+0.0000,unchanged,1,1,0.0800,0.2400,+0.1600,improved,0,0,,,募集资金,补充流动资金 | 00万元 | 募集资金
summary,total=10,score = 0.6 * number_overlap + 0.4 * keyword_overlap,,,,,0.7350,0.8104,+0.0753,hits@0.6 9->10,9,10,0.3998,0.7164,+0.3165,hits@0.6 5->8,5,8,improved=9,degraded=0,unchanged=1,
